"term","estimate","boot_se","ci_lower","ci_upper","boot_p","is_sequence"
"C-C-C-C-S-C",4.41143504416168,0.0818558893524698,4.25625148807098,4.57446419112088,0,TRUE
"C-C-C-S-C-C",2.10493922559349,0.0993286884221469,1.90720101691,2.3110781485433,0,TRUE
"C-C-C-S-S-C",3.74553730704669,0.329075583383366,3.08376164059489,4.41750398867751,0,TRUE
"C-C-C-S-W-C",5.81044014116322,0.617420450818202,4.60444791953548,7.01209212494986,0,TRUE
"C-C-S-C-C-C",0.684427416099481,0.0984577580839666,0.497880977759609,0.904084149171739,0,TRUE
"C-C-S-C-S-C",4.07058728484635,0.0833073762100251,3.90189252966313,4.23428758180296,0,TRUE
"C-S-C-C-C-C",-0.769451430192537,0.0954381627265187,-0.956786859868438,-0.583128719664258,0,TRUE
"C-S-C-C-S-C",4.08871501630911,0.0909527733743751,3.91086426197249,4.26873197326925,0,TRUE
"C-S-C-S-C-C",1.02848369094865,0.0900254392909346,0.853103075212392,1.19519754974987,0,TRUE
"C-S-C-S-S-C",4.82418099969251,0.119354027615132,4.59520755812971,5.0556396647599,0,TRUE
"C-S-C-W-S-C",6.31084454172924,1.2557865638616,3.90917881124404,8.80673459748078,0,TRUE
"C-S-S-S-S-C",4.28404701365804,0.332682505290879,3.66116552743614,4.93108780737761,0,TRUE
"S-C-C-C-C-C",-1.07569034258717,0.0959724373921338,-1.25527746894644,-0.875892258722783,0,TRUE
"S-C-C-C-S-C",4.22953621975213,0.101460021974018,4.02610242265888,4.43397757804616,0,TRUE
"S-C-C-S-S-C",3.28742887285792,0.29281151941329,2.73518667050446,3.87781895039164,0,TRUE
"S-C-C-S-W-C",4.12124666606678,0.633081847514382,2.98728862214265,5.42882882440386,0,TRUE
"S-C-S-C-C-C",0.493605652123401,0.103253569186065,0.293884556440935,0.683997715917401,0,TRUE
"S-C-S-C-S-C",3.63189793691389,0.0778097643737035,3.47849593361151,3.77790375700515,0,TRUE
"S-C-S-S-C-C",0.68498226638065,0.286511465866558,0.171765350509114,1.25677917097587,0.00600600600600601,TRUE
"S-C-S-S-S-C",4.60857348594625,0.17252148255216,4.27381552213464,4.95651360755134,0,TRUE
"S-C-S-W-S-C",5.77159414671312,0.499611876603514,4.78310126162221,6.75229252960536,0,TRUE
"S-S-C-C-C-C",-1.32558736361871,0.330411572604505,-1.98203090792383,-0.685448176951903,0,TRUE
"S-S-C-C-S-C",4.30761099323964,0.249820250569178,3.84280431872618,4.80242640046168,0,TRUE
"S-S-C-S-C-C",-0.663767419617817,0.310476639362052,-1.29327269456145,-0.0738909145442885,0.028028028028028,TRUE
"S-S-C-S-S-C",5.93812991068266,0.222072094147901,5.51993552702289,6.38840609079758,0,TRUE
"S-S-S-C-S-C",3.24973266122431,0.150673536766057,2.9786494025496,3.5524481341966,0,TRUE
"S-S-S-S-S-C",4.65509170838536,0.292028867454743,4.09492983521325,5.26227343453432,0,TRUE
"W-C-C-S-W-C",7.62970489856916,1.42412262461992,4.79982366374195,10.4871670870674,0,TRUE
"pr_6",0.22886382328438,0.0011208738110249,0.226768096662253,0.231017820579522,0,FALSE
"pr_7",0.107438645842917,0.000965282158403072,0.105570902653788,0.109269156085391,0,FALSE
"pr_8",0.032659701567907,0.000827037750793604,0.0310375943782445,0.0342485585596765,0,FALSE
"I(I(pr_6^2))",-0.000806788233465616,3.42919722527269e-06,-0.00081374072750811,-0.000800171217338822,0,FALSE
"I(I(pr_7^2))",-0.000261115956792681,3.4019718225938e-06,-0.000267686356127571,-0.000254538162448153,0,FALSE
"I(I(pr_8^2))",-9.11135750339309e-05,2.69769205819329e-06,-9.63008836881503e-05,-8.56873731483854e-05,0,FALSE
"cGDD_6m",0.619019380109111,0.00624457633553731,0.60737652828459,0.631435553244785,0,FALSE
"cGDD_7m",-0.026972833268998,0.00466866774789615,-0.0360089516964998,-0.0179984819945615,0,FALSE
"cGDD_8m",0.457800192229167,0.00413911455095508,0.449487751504588,0.465142879356746,0,FALSE
"EDD_6",-19.4180916027749,0.178947819127669,-19.7810843053523,-19.0697403891318,0,FALSE
"EDD_7",0.240406703335914,0.143423355137839,-0.0389673193809889,0.528940350021506,0.1001001001001,FALSE
"EDD_8",-13.1718254101688,0.127467420683069,-13.3999102944217,-12.9010510149595,0,FALSE
"vpd_6",54.8879619302134,0.365444956906801,54.1621360329606,55.6029385407316,0,FALSE
"vpd_7",-19.1653759994759,0.313054346458,-19.7860214251103,-18.5500891447321,0,FALSE
"vpd_8",11.0314290417399,0.220331968753226,10.5812513557653,11.4542638630598,0,FALSE
"soil_6",-0.090890460760895,0.00111916610551166,-0.0931865269999931,-0.0887601086646673,0,FALSE
"soil_7",-0.0179372157599566,0.00115425191189064,-0.0202535703040676,-0.0157130878054369,0,FALSE
"soil_8",0.00595204865294532,0.000905232083500449,0.00428661077849901,0.00772507857360083,0,FALSE
