"term","estimate","boot_se","ci_lower","ci_upper","boot_p","is_sequence"
"C-C-C-C-S-C",-143.647621141215,83.1429288319912,-305.935803855118,13.148372311108,0.0920920920920921,TRUE
"C-C-C-S-C-C",-210.856592523306,102.017886562499,-400.706215514558,-12.6319531938874,0.04004004004004,TRUE
"C-C-C-S-S-C",-769.224248824118,399.883193638655,-1541.58673819918,14.8040491362356,0.0540540540540541,TRUE
"C-C-C-S-W-C",-153.112065828776,502.943558384226,-1166.36067829179,824.729458716884,0.772772772772773,TRUE
"C-C-S-C-C-C",79.6083918781026,100.96596327188,-123.291047108252,282.923156295118,0.42042042042042,TRUE
"C-C-S-C-S-C",-38.2121951371043,79.4298054249985,-191.099297556986,118.438126682207,0.636636636636637,TRUE
"C-S-C-C-C-C",126.279978773839,125.678981519302,-96.802973751838,377.204360889176,0.342342342342342,TRUE
"C-S-C-C-S-C",69.4115408697898,86.6733850951459,-104.936047756167,235.855840652572,0.422422422422422,TRUE
"C-S-C-S-C-C",-643.306123122759,90.8784851783524,-818.65337284594,-466.099797240954,0,TRUE
"C-S-C-S-S-C",-383.806323482578,101.096299010233,-577.627097303974,-188.832340525996,0,TRUE
"C-S-C-W-S-C",624.91662804313,567.593085309149,-398.152213911777,1862.67913174821,0.258258258258258,TRUE
"C-S-S-S-S-C",-110.661322312302,258.78272972568,-621.500031311449,365.385687213239,0.682682682682683,TRUE
"S-C-C-C-C-C",-42.7216740148666,84.6441793106355,-208.651553795204,117.923570101795,0.640640640640641,TRUE
"S-C-C-C-S-C",114.863291006225,91.2567862426971,-65.4950593074805,285.212814521649,0.222222222222222,TRUE
"S-C-C-S-S-C",-533.327022672197,233.592525288071,-980.036610250319,-75.5571232231761,0.012012012012012,TRUE
"S-C-C-S-W-C",-255.967027010369,425.041148640162,-1085.18699412178,547.515167291849,0.610610610610611,TRUE
"S-C-S-C-C-C",-1.24865062694423,99.444876984426,-201.10338117121,185.473328658541,0.988988988988989,TRUE
"S-C-S-C-S-C",-45.6491386136087,74.6874035278788,-193.351468484865,102.383379704443,0.524524524524524,TRUE
"S-C-S-S-C-C",-482.053964483574,241.912669288109,-962.976292283564,-51.0878479586116,0.03003003003003,TRUE
"S-C-S-S-S-C",-369.491185060903,190.326825853288,-724.21929747427,24.1595655945045,0.0600600600600601,TRUE
"S-C-S-W-S-C",32.5336026654735,324.234674212611,-581.102500159923,648.363190834635,0.900900900900901,TRUE
"S-S-C-C-C-C",-681.997363184265,328.873054135482,-1327.17489642304,-18.6830028456273,0.044044044044044,TRUE
"S-S-C-C-S-C",54.4263721895436,197.421768425889,-337.461511472045,453.487347959503,0.786786786786787,TRUE
"S-S-C-S-C-C",-484.835136897405,252.472303410158,-976.998634515827,-0.846708769263459,0.046046046046046,TRUE
"S-S-C-S-S-C",-415.809717913252,157.892652140058,-727.838794796704,-101.042297031808,0.00600600600600601,TRUE
"S-S-S-C-S-C",-377.923592204182,132.243581104859,-639.385887944234,-126.88536147359,0.004004004004004,TRUE
"S-S-S-S-S-C",-132.143775133928,166.890393404968,-459.518907588982,200.82820953311,0.436436436436436,TRUE
"W-C-C-S-W-C",-780.859173035951,589.990895953128,-1980.15968879297,338.136498020938,0.176176176176176,TRUE
"pr_6",-10.0722429187212,1.77644093417442,-13.5366860493515,-6.6732823014237,0,FALSE
"pr_7",1.03274222536468,0.901420544285346,-0.740663222517604,2.92296954093557,0.262262262262262,FALSE
"pr_8",-6.8224611270165,0.740798518842184,-8.31067415107259,-5.38703627236073,0,FALSE
"I(I(pr_6^2))",0.0487299163656085,0.00605722540160605,0.0371217966147739,0.0610228228873363,0,FALSE
"I(I(pr_7^2))",-0.0227370693289068,0.00309402712263011,-0.0286299944116783,-0.0166279008688607,0,FALSE
"I(I(pr_8^2))",0.011843597240081,0.00233939288062814,0.00722786519110768,0.016552865434262,0,FALSE
"cGDD_6m",4.74651389934307,6.52228593927418,-7.89512971513347,17.624293056807,0.442442442442442,FALSE
"cGDD_7m",39.0526397261873,5.84307350759695,28.4071933979885,51.5492721463287,0,FALSE
"cGDD_8m",69.6915363120886,3.56152511969281,62.6283252088843,76.4152146609026,0,FALSE
"EDD_6",1398.75867163132,179.848855518605,1035.2759438135,1746.0202894739,0,FALSE
"EDD_7",-905.563297336072,147.343615768744,-1205.0127372285,-643.962213434432,0,FALSE
"EDD_8",-2566.37965928296,114.600288652643,-2792.49835966846,-2352.23464976015,0,FALSE
"vpd_6",-6600.36042555091,335.196072876501,-7231.69385151578,-5979.86389819032,0,FALSE
"vpd_7",597.984737170421,226.018700595504,150.888465584146,1047.47707895792,0.00600600600600601,FALSE
"vpd_8",3251.97182855464,206.490724261345,2853.60877025576,3656.31433363143,0,FALSE
"soil_6",-6.98904624072726,0.954118685295215,-8.78089139621865,-5.08079728747797,0,FALSE
"soil_7",11.5937808180978,0.935036625850148,9.74579220567615,13.3713927763422,0,FALSE
"soil_8",-6.90655399932421,0.707015741281077,-8.38750723662466,-5.39943314603928,0,FALSE
