"rot_cropC-C-C-C-S-C" "rot_cropC-C-C-S-C-C" "rot_cropC-C-C-S-S-C" "rot_cropC-C-C-S-W-C" "rot_cropC-C-S-C-C-C" "rot_cropC-C-S-C-S-C" "rot_cropC-S-C-C-C-C" "rot_cropC-S-C-C-S-C" "rot_cropC-S-C-S-C-C" "rot_cropC-S-C-S-S-C" "rot_cropC-S-C-W-S-C" "rot_cropC-S-S-S-S-C" "rot_cropS-C-C-C-C-C" "rot_cropS-C-C-C-S-C" "rot_cropS-C-C-S-S-C" "rot_cropS-C-C-S-W-C" "rot_cropS-C-S-C-C-C" "rot_cropS-C-S-C-S-C" "rot_cropS-C-S-S-C-C" "rot_cropS-C-S-S-S-C" "rot_cropS-C-S-W-S-C" "rot_cropS-S-C-C-C-C" "rot_cropS-S-C-C-S-C" "rot_cropS-S-C-S-C-C" "rot_cropS-S-C-S-S-C" "rot_cropS-S-S-C-S-C" "rot_cropS-S-S-S-S-C" "rot_cropW-C-C-S-W-C" "pr_6" "pr_7" "pr_8" "I(I(pr_6^2))" "I(I(pr_7^2))" "I(I(pr_8^2))" "cGDD_6m" "cGDD_7m" "cGDD_8m" "EDD_6" "EDD_7" "EDD_8" "vpd_6" "vpd_7" "vpd_8" "soil_6" "soil_7" "soil_8"
"rot_cropC-C-C-C-S-C" 0.00670038662168377 0.00389167660730867 0.00273715425377922 0.00161673323281527 0.00320889709401826 0.00376323240222159 0.00339592889933906 0.00384530834362439 0.00356789000355613 0.0036294505371365 0.00454884920134009 0.00183036411293343 0.00290233273197268 0.00394128564891441 0.00319836237790869 0.00112711171999914 0.00340564147951229 0.00373009365604991 0.00362288379010896 0.00331251686895734 0.00315073537982074 0.00278494107064867 0.0034499965743794 0.00397410479591397 0.00393808440151897 0.00285188532039811 0.00419740499200407 0.00544969980442205 -3.04912748110804e-06 1.80070353279568e-06 -1.88079402834248e-06 7.1874292535556e-09 -5.90776956667681e-09 8.7261445487292e-09 -3.60220147131875e-07 -1.41757540632163e-06 1.50304990080484e-06 -0.000441645870994081 0.000201042864573819 -0.000178736265897382 0.000742846171458955 -0.000557181085334332 0.000768950617576923 -6.29748212671264e-08 -8.97647660909774e-07 1.03850308402559e-06
"rot_cropC-C-C-S-C-C" 0.00389167660730867 0.00986618834366394 0.00220907386609778 0.000708881569729571 0.00405723687402804 0.00393456776912535 0.00388203408001121 0.0043740454560598 0.00371548645796554 0.00350225894082155 0.00255676525070021 0.00309902138995199 0.00324956426552178 0.0045611624357405 0.00483794090494814 0.00139194953246739 0.0037271871104725 0.00384397202928269 0.00332224177670899 0.00356928986588261 0.00348150638899355 0.00174992775358123 0.00457470578175293 0.00367352023579392 0.0046453200406072 0.00380339699963248 0.00456984856056544 0.000299005472697995 -2.65491846077259e-06 5.30248570646611e-07 -4.09069074073116e-06 6.33944558216059e-09 -6.26201036606183e-09 7.68836069598069e-09 -8.9831713162258e-06 2.62060533230264e-06 -6.33755587208766e-06 -0.000137930257280801 -0.00016924474053048 0.000289886522825989 0.000310998476573458 0.000678474010017631 -0.000787065980484414 1.19800377142886e-06 -3.65829657353302e-07 3.95425280748082e-07
"rot_cropC-C-C-S-S-C" 0.00273715425377922 0.00220907386609778 0.108290739579103 0.00617132814407841 0.00396861197936067 0.00386742859436527 0.00430250144559286 0.00424826793207675 0.00328729715228733 0.00105491807909492 -0.00920246821499031 0.00547850766334877 0.00344564755734846 0.00435568102536454 0.00142156811071611 -0.00354299449440611 0.0047682068806232 0.00369800159355013 0.00552223146504878 0.000852784771609283 -0.00535963209854585 0.00937954553055199 0.00632912684773729 0.00598183477737116 0.00435899107542463 0.00378890606221562 0.00224218556137366 0.00407162389247528 -3.27327295240188e-05 9.3364723936113e-06 -7.11711199129404e-06 9.43974559796987e-08 -5.4162233825053e-08 3.99756184583201e-08 1.05983053875012e-05 0.000111695384583858 1.21878785160848e-05 -0.00110906510206564 -0.00303055250868458 -0.000223775329771399 0.00480009227778526 0.00252274206978757 -0.000885025616562072 5.18286868261973e-06 -1.38933706224526e-05 6.63522629471897e-06
"rot_cropC-C-C-S-W-C" 0.00161673323281527 0.000708881569729571 0.00617132814407841 0.381208013088552 0.00347380775039243 0.00299995476020707 0.00453404232621809 0.00316110105557675 0.0024553630635571 0.00185073985561209 -0.040447561168161 0.00949646302387227 0.00560636568189069 0.00151429476707637 0.00596031541558235 0.0151106914015988 0.000485959518181507 0.00192954770509076 0.000186070413115599 0.000936158259687371 0.0152345823798597 5.47629334464245e-05 0.00398760366737414 -0.00431969277658348 -0.00166211756926404 0.00158745626245402 0.0158520676690769 0.0393284425234015 -6.93842563212785e-06 8.2057498063241e-07 -7.56638398405136e-06 5.27059802308073e-08 -1.29778488157301e-08 2.80073497584746e-08 -0.000249555408600505 2.91406204176951e-05 -2.58344839914452e-05 0.0041797429038995 -0.000856156698488231 0.00199972981977689 0.0112362870592108 -0.00157861439116792 -0.00434081333182794 4.01790036043012e-05 -3.22371724083388e-05 -5.55251116497155e-06
"rot_cropC-C-S-C-C-C" 0.00320889709401826 0.00405723687402804 0.00396861197936067 0.00347380775039243 0.00969393012692088 0.00372775756792852 0.00390011537580322 0.00384131987246224 0.00330473606636191 0.00323908347280095 0.00282195986883754 0.00117419464304688 0.00315740856232228 0.00423863348027261 0.00367576804874833 0.00139546764350495 0.00348500294493373 0.00345357445554774 0.00297222628703148 0.00323857279674962 0.0028941241576554 0.00212898599585718 0.00331244238172796 0.00407419761726133 0.00425875116590141 0.00375817729203371 0.00364047805387884 0.00175484301292106 -2.96709108823941e-06 -9.78403185975391e-07 1.42445229154822e-06 9.25658631524036e-09 -1.72353128087082e-09 -3.51316246504969e-09 -2.34218106367131e-05 -2.2701189097316e-05 2.09059695323943e-05 0.000538758731341937 0.000638627368844699 -0.000381235412413007 -0.000563641239865157 -0.000665168530247335 0.000162953901623125 -1.22497650930823e-06 2.70703644907381e-06 -3.33962259712956e-06
"rot_cropC-C-S-C-S-C" 0.00376323240222159 0.00393456776912535 0.00386742859436527 0.00299995476020707 0.00372775756792852 0.00694011893099866 0.00381932851303191 0.00506159483633399 0.0046421246387026 0.00474882054154775 0.00793415422522022 0.00399165040401866 0.00288465089107654 0.00510392863320908 0.00519204658565403 0.00362064539373255 0.00431164317407836 0.00508573520312889 0.00408339030862087 0.00462136972366797 0.00399397876780251 0.00252071734209941 0.00506023750220101 0.00524006293135996 0.00561840993701837 0.0046812426730819 0.00644057102050681 0.00137538545534886 6.83812565538399e-07 -1.0998496191706e-06 -1.19552231429711e-06 -1.5182228874526e-09 -1.01096559408104e-09 2.54543591294047e-09 -2.53236087298851e-05 1.16170565522212e-05 9.62052977158006e-06 0.000453577675507246 -0.000305600461153965 -0.000129203418076106 0.000643555182823796 0.000399153786836386 -0.000108384576129542 -1.35358031758691e-06 -2.25162676303449e-06 1.56495549993425e-06
"rot_cropC-S-C-C-C-C" 0.00339592889933906 0.00388203408001121 0.00430250144559286 0.00453404232621809 0.00390011537580322 0.00381932851303191 0.00910844290461347 0.00392142519993758 0.00367483014088427 0.00313427947745573 0.00466487679156116 0.00180599941612724 0.00363338239016135 0.00422421515101261 0.00432185035292406 0.000253328623542215 0.00387536159602144 0.00364028005295155 0.00207379954340256 0.00356567265391529 0.00343904754922952 0.00193341294423466 0.00361564255132803 0.00452685586004807 0.00418232512088693 0.00368854803766703 0.00486536611025533 0.00739537288500439 1.67340515522931e-06 3.63347488231572e-06 -1.81356087860289e-06 -1.20277297085922e-09 -1.85916233750521e-08 5.93567488612403e-09 -1.02667016842433e-05 1.40410320480349e-06 -1.67518847361539e-06 0.000115934197521126 -4.18161204763748e-05 1.24593022311723e-06 0.000448184923762008 -0.000131399979821789 0.000110421333929602 3.29808184438289e-06 -3.98961909236372e-06 -6.23680565420564e-07
"rot_cropC-S-C-C-S-C" 0.00384530834362439 0.0043740454560598 0.00424826793207675 0.00316110105557675 0.00384131987246224 0.00506159483633399 0.00392142519993758 0.00827240698449043 0.00485639540992103 0.00441455331596404 0.000763582294095404 0.00379729146046713 0.00297312787947183 0.00507390980570364 0.00537093718587174 0.00341193069512761 0.00415720416682156 0.0050612623938382 0.0050696491350812 0.00469731531100828 0.00311385144401753 0.00400950172144572 0.00582794506885976 0.00573824166898448 0.00484090622501006 0.00462785866014811 0.00650150259496302 0.00960907540691928 -5.64684091340288e-07 -1.31837006700825e-06 -4.66262297276984e-06 -1.37038961908499e-09 3.71259336029432e-10 1.21007663897188e-08 8.22743267482047e-07 1.36217010201499e-05 2.13919497944538e-06 -0.000169501197992343 -0.000307906233498339 4.19770870743691e-05 -4.40361003979064e-05 0.000829465680748289 -2.06963563380251e-05 -4.17253286475062e-06 -5.85329975927803e-06 7.47222394574999e-06
"rot_cropC-S-C-S-C-C" 0.00356789000355613 0.00371548645796554 0.00328729715228733 0.0024553630635571 0.00330473606636191 0.0046421246387026 0.00367483014088427 0.00485639540992103 0.00810457971952575 0.00454910187677976 0.00423982101520313 0.00323771806174472 0.0030591461599283 0.00450946683433159 0.00536100115670645 0.00104587278407153 0.00461053799136131 0.0047728310423149 0.00448292446217815 0.00485607227304036 0.00410864936477249 0.00387144405071449 0.00486480532936994 0.00531970828645537 0.00645951401375802 0.00425836986955673 0.00590997650146526 0.00840472143652667 -2.39470038505191e-06 3.2655206131807e-06 -3.31557863416178e-06 5.45397302713854e-09 -1.56057057386619e-08 1.22783506198525e-08 -1.7147489531316e-05 5.48353334337076e-06 1.50034407697074e-05 3.00932398591951e-05 5.03239271037193e-05 -9.07154176074645e-05 0.000976452110925684 -0.000454122756073946 1.78083075854325e-05 -1.18031355189442e-06 3.05255139591897e-06 -2.52325630250728e-07
"rot_cropC-S-C-S-S-C" 0.0036294505371365 0.00350225894082155 0.00105491807909492 0.00185073985561209 0.00323908347280095 0.00474882054154775 0.00313427947745573 0.00441455331596404 0.00454910187677976 0.0142453839079537 0.0103941188057608 0.00723357637718276 0.00250977089621928 0.00472961374742983 0.00584123745188501 0.00437496340774261 0.00428047452252644 0.00543454668065469 0.00781839512346222 0.00616205163645981 0.00463344741016562 0.00394170717956665 0.00554650095611186 0.00646554183665573 0.0094259506896272 0.00555533906845859 0.00702348310182979 0.00572367796397986 -3.17260558818187e-06 -1.59306815592812e-07 -5.88981966158653e-06 1.05047587935365e-08 1.26989892968158e-09 2.86779859947281e-08 -7.74340187113086e-06 2.2591632323407e-06 5.97449601733358e-07 0.000283534903898906 -3.10057108711556e-05 -0.000241159175454671 -0.000466964509418526 6.80440068169084e-05 0.000935970921057466 -3.02337477065236e-06 1.16472693224282e-06 1.83723362129657e-06
