"","rot_cropC-C-C-C-S-C","rot_cropC-C-C-S-C-C","rot_cropC-C-C-S-S-C","rot_cropC-C-C-S-W-C","rot_cropC-C-S-C-C-C","rot_cropC-C-S-C-S-C","rot_cropC-S-C-C-C-C","rot_cropC-S-C-C-S-C","rot_cropC-S-C-S-C-C","rot_cropC-S-C-S-S-C","rot_cropC-S-C-W-S-C","rot_cropC-S-S-S-S-C","rot_cropS-C-C-C-C-C","rot_cropS-C-C-C-S-C","rot_cropS-C-C-S-S-C","rot_cropS-C-C-S-W-C","rot_cropS-C-S-C-C-C","rot_cropS-C-S-C-S-C","rot_cropS-C-S-S-C-C","rot_cropS-C-S-S-S-C","rot_cropS-C-S-W-S-C","rot_cropS-S-C-C-C-C","rot_cropS-S-C-C-S-C","rot_cropS-S-C-S-C-C","rot_cropS-S-C-S-S-C","rot_cropS-S-S-C-S-C","rot_cropS-S-S-S-S-C","rot_cropW-C-C-S-W-C","pr_6","pr_7","pr_8","I(I(pr_6^2))","I(I(pr_7^2))","I(I(pr_8^2))","cGDD_6m","cGDD_7m","cGDD_8m","EDD_6","EDD_7","EDD_8","vpd_6","vpd_7","vpd_8","soil_6","soil_7","soil_8"
"rot_cropC-C-C-C-S-C",6912.74661476156,2229.51492834485,4421.88158712994,252.27643904335,2968.44230725372,3294.51906314332,2854.0755272412,3208.80941091171,3057.50843432077,3040.12801620693,6641.24531406541,3009.60254986651,2639.42378985409,3271.4169531496,1651.38593522986,-153.604552424904,2992.22855745044,2946.61668794607,2467.72016371401,2530.91066873037,3037.46699502384,3609.64131858881,2740.44716045558,3747.81572984572,2872.22011033503,2790.50517475982,3661.15535326228,2597.60597560352,-4.34062166138325,-4.21397805597066,2.20068217976631,0.0231095961785666,0.0120697461300524,-0.00586273644246335,-51.3861592663773,-31.406275513757,3.42036076934318,1345.41809942021,713.289409432648,73.2744102187118,-2163.74810069997,987.354302266783,-407.595209915189,-2.61235243425339,-1.15518316441103,0.98408992244675
"rot_cropC-C-C-S-C-C",2229.51492834485,10407.6491786789,5979.29700348814,3976.57233004033,3158.75689912785,2750.28517008855,1521.59726037687,3282.78909194411,2956.47394612239,3079.86933758863,6370.98049996914,1633.07050010049,2744.36191076137,3914.16957431193,3144.7454175187,1171.51373113617,2918.85082236108,3151.09999469651,2995.9546263832,2338.5207175825,2543.24363205353,3145.31459845116,3050.52427755818,4180.37544968686,3966.62004056295,2511.55423690756,2804.57822155799,2658.95355407929,-4.90294839287949,4.00329183197793,-10.2543776170772,0.00223836632365755,-0.0070782751281237,0.0289952957955894,99.7924193097989,75.8204580268462,-19.2816178932728,-2307.03481451573,-1924.14996497798,1129.99175059844,2239.07319948009,363.612356710288,-1721.17633775937,3.0208934658824,-7.44326762580845,3.17395512445195
"rot_cropC-C-C-S-S-C",4421.88158712994,5979.29700348814,159906.56855465,2511.59898755412,4153.34629319149,5163.73036121916,5192.37587495082,4854.05069186624,4922.55754685655,5943.71284332478,7914.1536780209,5691.90737999304,3559.11069516082,4918.09208761762,9255.84680086775,323.741106640601,3636.22062671495,5584.29279212987,8068.9186618558,7938.97703977654,7192.5589042562,-560.540192123676,8595.1011293009,8211.86152119908,3622.10234810357,7133.68662708996,7184.12142853101,-2420.42036190676,-13.4280959758843,-12.4072651213124,-6.38846457464115,0.0818705917252575,0.0570767467900733,0.0126807121962253,52.3381513987667,-89.0789593671787,-54.7191407821126,-1830.21147153612,1055.82266799117,-246.975729440503,2986.95754153478,3144.22591032451,3053.50229200706,-13.2617002313501,-20.6167357095739,14.7638706773385
"rot_cropC-C-C-S-W-C",252.27643904335,3976.57233004033,2511.59898755412,252952.222920188,4215.64730921979,3936.25892965883,3200.90130373304,3308.97121735992,4562.78449215503,2462.58838330058,7025.65217048697,4870.98510717341,1882.48325910322,3022.93750211275,1478.51219683061,13175.1082980235,110.491382716876,5456.4476719403,4395.76855678455,5865.06551871206,512.954005496706,6029.06147857433,3414.05627130499,-5367.87964965404,2480.26027923556,8857.56136677586,8151.81693702479,21093.197206794,-6.92263262729896,-11.0442289425511,8.00532735461163,0.0166011827124734,0.0139015882647849,-0.0305653482748086,-167.55934640007,-5.29587177951936,18.6308731403833,3712.71051663382,590.324938905526,-328.252437813361,-6023.37798688734,-3409.50590615061,563.793236084708,9.89742375709205,-15.7332214888133,1.76981273768044
"rot_cropC-C-S-C-C-C",2968.44230725372,3158.75689912785,4153.34629319149,4215.64730921979,10194.1257394187,3400.10185089223,2522.62417079766,3405.65836432287,3430.81316713902,3298.71096843929,6524.58264047246,2472.46023005751,2689.3701195151,3926.72262979059,2828.1035190131,2538.19645153226,3231.01145312574,3322.30550787482,3450.33659410503,2310.69783385067,1807.59498622799,2739.54286113502,3799.13671797148,3900.51208914946,3398.80384357644,2904.49769162822,3579.3335928015,6199.37238273646,-8.13287612767653,-4.24855251006582,-0.484384899777155,0.0274203252571798,0.0148869849257666,0.000817871136497672,-10.7192852829797,-4.11252749855311,2.57049690892425,404.787259179609,-13.0041378406007,-347.947688636216,-2120.45689416307,1229.85587583524,479.017581376434,2.78076884932007,-5.25815675315714,7.00698917405231
"rot_cropC-C-S-C-S-C",3294.51906314332,2750.28517008855,5163.73036121916,3936.25892965883,3400.10185089223,6309.09398985313,3512.47899149012,4321.5683436914,4706.66749586252,4202.99596131338,7493.17517727294,3683.96648967202,2719.88770522986,4499.92846591735,4662.14733361342,2342.84221020187,4132.74726377038,4853.93424509877,4228.87935515791,4605.94347587355,3285.22095374537,2063.63529671704,5001.75459662078,4821.10027435685,3939.60821529087,4358.21263545436,4820.54703764179,4486.55921817511,-5.85312982498365,-4.23777652930324,2.85680048162455,0.0280169886832229,0.016804642576766,-0.00651968103484018,-43.5945622302304,-28.9326484561978,18.4041753867297,995.706840192903,748.669491248916,-475.989964912946,-799.123117524477,126.687469487383,455.697413992597,-1.04324554248476,-2.85516099849862,-0.165618610943945
"rot_cropC-S-C-C-C-C",2854.0755272412,1521.59726037687,5192.37587495082,3200.90130373304,2522.62417079766,3512.47899149012,15795.2063957292,3317.42937878222,4072.682623568,1356.56724500689,5475.37312188273,2878.79249841639,2655.10202157993,3383.08442058849,3908.84892345976,3921.91348559414,4140.12229487456,3657.09669775263,1692.56444566767,2904.90954155051,1702.13155887826,2698.04769881416,3885.67641090261,4607.05763505663,3357.63946856545,3499.07464018113,4099.94384615253,3584.26826030334,-24.9176538713026,30.4627395294379,-9.7463520743577,0.0640145255065161,-0.0843709507365212,0.0277020780174149,107.3990216448,268.795482862212,-9.87346755708204,-2371.96404870076,-5969.30396421943,960.73268947161,3652.79237004768,-2229.4839854783,-36.2511097603267,14.570701906778,-27.8954184711649,9.96134140463542
"rot_cropC-S-C-C-S-C",3208.80941091171,3282.78909194411,4854.05069186624,3308.97121735992,3405.65836432287,4321.5683436914,3317.42937878222,7512.27568385147,4637.15375074083,4173.71692224834,6946.71554229902,3265.96852235419,2571.01011183202,4257.02205762034,5060.50575648637,3382.73632762912,3846.6206518611,4540.24662480265,3836.09608480486,5267.62271928698,2058.20342551257,3170.5466721211,4647.35223464312,5268.30619585622,4565.72661047489,4286.16950890252,5080.52824697763,2962.50696806826,-15.7186707419098,0.227497243792416,0.0140415257755643,0.057171651895949,0.00549196264902493,0.00157972876547799,-8.03198182986725,26.3839548526946,18.2937717187679,349.904280483945,-753.445349466705,-677.945447827944,-1897.17881671245,101.695182901466,1158.64069978767,8.07507901281756,-6.67661171305042,3.65650746886081
"rot_cropC-S-C-S-C-C",3057.50843432077,2956.47394612239,4922.55754685655,4562.78449215503,3430.81316713902,4706.66749586252,4072.682623568,4637.15375074083,8258.89906831202,3903.33648066829,6375.7108713164,4261.69063180943,2961.70922372124,4256.35714958486,4372.56881527104,3041.70174449429,4172.61360644545,4611.67559621333,4188.23836126984,4073.27319519019,3015.66211923618,3665.76450137862,3731.77155948888,5584.66904244176,4215.27551762215,4356.62508782683,4701.56204288134,2956.45716962268,-5.45506922308255,0.096274619285642,5.26911603321088,0.0249880657890613,0.0028626099941309,-0.0156270782985154,-13.7643146403396,27.8941849884819,8.50220067505417,371.278799287494,-700.47206804142,93.6729822158709,-279.235895621391,720.188121376559,-530.078994969597,-4.5821452574466,-4.1961481398392,1.30122160359805
"rot_cropC-S-C-S-S-C",3040.12801620693,3079.86933758863,5943.71284332478,2462.58838330058,3298.71096843929,4202.99596131338,1356.56724500689,4173.71692224834,3903.33648066829,10220.4616735664,6697.39865640908,4415.10161850519,2355.04766422356,4267.58991584407,4825.84413764086,2299.21188488193,3618.43720311667,4832.02154606872,5406.54803371432,5584.42028526376,5277.47453541768,3441.95943292443,4517.04483022295,4834.66602616186,6853.71490324209,4707.28686961805,5737.24966689492,4282.32253027788,-6.50870948495901,-10.9501029636281,4.19854913579014,0.0308167284331799,0.0372893131798348,-0.0104649901767675,-42.3428792428272,-53.5226091360405,1.42629947522089,964.829289770898,1233.92761073191,-243.109745060669,-2179.84443560349,868.403997142089,305.719299756724,-2.13284003024046,0.992471361972284,-1.5510039253357
