"rot_cropC-C-C-C-S-C" "rot_cropC-C-C-S-C-C" "rot_cropC-C-C-S-S-C" "rot_cropC-C-C-S-W-C" "rot_cropC-C-S-C-C-C" "rot_cropC-C-S-C-S-C" "rot_cropC-S-C-C-C-C" "rot_cropC-S-C-C-S-C" "rot_cropC-S-C-S-C-C" "rot_cropC-S-C-S-S-C" "rot_cropC-S-C-W-S-C" "rot_cropC-S-S-S-S-C" "rot_cropS-C-C-C-C-C" "rot_cropS-C-C-C-S-C" "rot_cropS-C-C-S-S-C" "rot_cropS-C-C-S-W-C" "rot_cropS-C-S-C-C-C" "rot_cropS-C-S-C-S-C" "rot_cropS-C-S-S-C-C" "rot_cropS-C-S-S-S-C" "rot_cropS-C-S-W-S-C" "rot_cropS-S-C-C-C-C" "rot_cropS-S-C-C-S-C" "rot_cropS-S-C-S-C-C" "rot_cropS-S-C-S-S-C" "rot_cropS-S-S-C-S-C" "rot_cropS-S-S-S-S-C" "rot_cropW-C-C-S-W-C" "pr_6" "pr_7" "pr_8" "I(I(pr_6^2))" "I(I(pr_7^2))" "I(I(pr_8^2))" "cGDD_6m" "cGDD_7m" "cGDD_8m" "EDD_6" "EDD_7" "EDD_8" "vpd_6" "vpd_7" "vpd_8" "soil_6" "soil_7" "soil_8" "rootznaws_mean"
"rot_cropC-C-C-C-S-C" 7028.76480978523 2460.09640836318 3942.42644837319 3767.63296951989 3171.83662312657 3398.43844602249 3426.45367570618 3203.72308390333 2908.67086924886 3341.80456621651 1847.87621046685 2660.36006934634 2486.79143985919 2621.66823894991 2506.20326487935 2592.77952918462 3172.830499085 3132.27684842619 2849.74500946428 2962.18112015877 3451.06017590439 3941.01536511001 2628.90832129871 3329.25679793985 2734.86450091011 2619.25251670559 3239.32844861973 5137.25267633081 -6.37687052100347 -1.07708921788919 -0.322705909784715 0.0236495939414328 0.00438346666387217 0.00453253766368777 -26.1673822390834 -7.6100349931984 5.3179616426903 819.153215779029 87.1970592146952 -297.559387282973 -2253.99115790924 1148.46780545125 374.243602843278 3.72518358248943 -2.6523679543913 3.09057559480365 -63146.5132895684
"rot_cropC-C-C-S-C-C" 2460.09640836318 11108.7424264628 5121.82714760532 2458.93578201295 3480.60557608827 3085.18432821468 1158.83502792641 3675.71585261153 3276.51256427736 3527.72732407513 1.14045682588071 3058.42880283104 2667.78356201807 3994.82681138977 3269.73658575639 2624.3785641696 2988.00410182421 3360.65002545536 2172.19245097218 3744.60516034691 2363.5822784463 3735.28991851442 3482.55928432429 3056.534629129 3258.83105380739 3611.72200040796 3505.97247896523 7629.17107375455 -18.8036381038435 7.58886614646062 -10.5437783550562 0.0496871711443623 -0.0220028109619271 0.0281038468812691 96.0946812586686 63.2411975778557 -28.6435460460793 -2567.04392972564 -1732.1369484527 1152.02196592807 3634.00271680385 76.5512847177503 -1757.93410067302 4.04484908947325 -5.32768424221859 4.08537774945013 -87729.7173080279
"rot_cropC-C-C-S-S-C" 3942.42644837319 5121.82714760532 166254.427743435 15991.6882954474 5819.39985500799 5972.46933085366 7136.07666018445 6517.54044756275 7001.33426157997 6028.84920805355 3272.47374085233 5496.04955007571 5391.97546725731 6421.30090329024 11869.4556285762 19382.9609193019 6251.40604508072 7273.2678541912 2899.57840506461 6266.41324703777 10573.6348665857 13041.6637921607 5863.09907088307 11259.9451673189 7803.87805537545 5974.45534903678 6325.28345566054 11825.881412623 -42.7964658783802 -22.109839455483 5.55010578764316 0.154841839590189 0.0781374350247807 -0.0186034548884873 -257.681383228037 -99.6045672302387 40.3832131890131 6985.49179738107 521.939788534841 -2911.23719583183 -14611.4413494498 5829.0102020795 3892.8506587842 20.547834751811 5.15284497999846 -4.93642094642215 -404300.173440085
"rot_cropC-C-C-S-W-C" 3767.63296951989 2458.93578201295 15991.6882954474 251426.065761024 4677.95737917898 3365.71767411216 6681.47397559109 6637.42178463006 2900.58220776906 2933.73111090519 7050.88271129601 3831.44000699832 2266.11604633099 1363.65679272741 2053.83876507765 5751.33803100314 2687.10599147717 3837.85779452906 5016.81644363185 4477.80039030339 2410.16013319913 13931.2031528167 2392.26081515409 -5536.82879164522 2614.02614222585 1923.5858729776 1664.90494915357 26178.7641401389 -24.5660242486265 5.06415925093905 2.36062036283773 0.0808192432147994 -0.0247134968244251 -0.0240493479776984 -51.502014776466 74.941851120587 -23.5995384389915 1316.54985374344 -2345.32596468679 500.451755468679 -5110.57768641771 2821.58928577478 1390.94168670539 32.1124027414695 -16.7842138751622 6.52294419402758 -323742.416214079
"rot_cropC-C-S-C-C-C" 3171.83662312657 3480.60557608827 5819.39985500799 4677.95737917898 10840.1932385537 3652.69348022782 3068.26666959992 3638.02741156833 3447.58087949746 3968.87166417634 5247.67281246572 4609.09814603767 2897.33490491553 3636.91866284562 3110.38139489898 5525.39834472438 3354.9339775513 3776.45469385933 2671.1794574458 4485.75233688681 4619.76128333177 4542.19580857035 4009.93107307721 4012.42789138177 4182.79281720015 4015.32726212793 4391.38851612104 5512.97339579125 -5.63240871364781 0.610594550729984 0.922526291602969 0.0212530863077376 -0.003417280390288 -0.000375385615289061 -33.7181564135062 -15.5143295886028 0.480973023501993 980.457946341136 63.7054483776265 -431.246773571762 -1360.88915522426 763.518652610569 1127.68473853663 7.68289410174806 -2.83428374338835 3.49999037599827 -71354.492404733
"rot_cropC-C-S-C-S-C" 3398.43844602249 3085.18432821468 5972.46933085366 3365.71767411216 3652.69348022782 6432.12715095241 3280.31129873186 4458.10391293924 4632.12356380981 5066.9892721008 3465.45337542647 4941.95039135739 2812.50682198588 4421.33716707886 4472.54869580412 3832.91527779097 3902.63121389166 4933.05534963959 4785.35106330322 4966.09958678379 5493.9065444773 4236.86192120548 4447.44440736634 3375.81861444891 5442.2865284027 4575.24447113443 4959.20040518368 4546.18640078787 -11.4274934202593 -4.3819596204956 4.45822795798527 0.0438204359842187 0.0134432897516168 -0.0124224591558781 -29.4127567661592 -38.9867160165647 -0.447588735650106 602.397394312815 908.166331859881 -170.123399928374 -1256.5344130279 348.338925905994 137.079528732566 1.23225539563354 -1.3981115188994 1.92247654359575 -70754.9478293591
"rot_cropC-S-C-C-C-C" 3426.45367570618 1158.83502792641 7136.07666018445 6681.47397559109 3068.26666959992 3280.31129873186 16595.2147937034 3786.23124971664 3304.30548075562 2022.85134490593 3498.76532646136 2349.92911226313 2132.75763719261 3064.14651259927 3166.90911575974 5549.2349557637 4495.97769222479 3650.41509840384 1954.20914896821 2822.75250683702 5460.10115525721 2162.40959801155 3499.80936567143 3696.70186682605 3532.62582812606 3751.00106149332 3953.95751687069 4976.83386682676 -36.4994296325083 40.5989005855968 -11.2685091835114 0.0973371351414779 -0.119511478078373 0.0374827821039708 131.756031456883 302.014734077739 -20.5823503424474 -2988.82662185475 -6485.8135544034 804.968114790857 4028.72309921361 -3353.18064766063 1034.18049932555 23.0568644796617 -27.6711826634563 10.1066067062069 -104431.533862411
"rot_cropC-S-C-C-S-C" 3203.72308390333 3675.71585261153 6517.54044756275 6637.42178463006 3638.02741156833 4458.10391293924 3786.23124971664 7536.73571709724 4530.85424088703 4947.08241767467 2816.13512781577 4618.97282180995 2554.99975094052 4185.80228377932 3889.50328226789 4331.15242741175 3976.84208305854 4704.12744452791 3494.53976022719 5093.82286121807 5710.69357316989 4493.15276065301 4906.73985774126 4320.07699303194 4958.1131860008 4696.95136620198 4642.95942965648 6737.1337018173 -19.1457540321228 2.82853863666079 1.26379310170391 0.0649319782507885 -0.0072340565894431 -0.00585006108694424 -17.0408028703701 23.3358095235357 -2.46958336005977 633.037335194116 -677.482263265467 -221.363405956899 -2287.81076870623 -143.660321782764 753.692397764872 11.5608013002187 -3.59099734709675 2.77599178228523 -74657.8130398106
"rot_cropC-S-C-S-C-C" 2908.67086924886 3276.51256427736 7001.33426157997 2900.58220776906 3447.58087949746 4632.12356380981 3304.30548075562 4530.85424088703 8416.23107162638 4891.49830543003 2910.07287932528 5119.6467020181 2652.54593759107 3899.74186290862 4615.67458222306 5263.67727895327 3854.12254009216 4568.96303346534 3288.65975232634 4936.5563471009 5190.13798429477 3898.26232324966 4732.21484986809 3835.58645997774 5184.35247277168 4743.09006634124 4777.971993742 5119.03339068565 -3.10089977900802 -3.09423152803234 7.31384832222199 0.0192826004735335 0.0143008188887987 -0.0244565198736761 -21.5626613489064 -26.2865471207681 -2.79784038084211 281.875379407457 590.676624807031 51.2676349585522 455.314244886277 -54.5005530954901 -489.591963915202 -0.96689053788811 -1.0676449600642 1.03130035107269 -35357.4119010955
"rot_cropC-S-C-S-S-C" 3341.80456621651 3527.72732407513 6028.84920805355 2933.73111090519 3968.87166417634 5066.9892721008 2022.85134490593 4947.08241767467 4891.49830543003 11423.152419279 1913.47512428086 6868.24251191865 2841.6993041539 4568.8640364512 5644.13460156676 5113.2067524627 4292.99003515591 5479.01130922324 4383.55563979997 6786.11481994619 5121.32689058526 4215.59467114969 5090.22148111356 4545.5503139329 8306.42846832941 6121.94083307679 6321.54958851626 5409.66528120523 -7.06977746868722 -12.5243489026649 8.97532419149945 0.033966681018286 0.0441942398887411 -0.0278837372104712 -75.4463939244216 -98.2599874306118 4.33445987609323 1843.4000360431 2175.13626046346 -542.856525141569 -3055.78326444256 -2.36913754235927 1004.71290994803 3.4726180936186 -0.0571511002415047 -0.793194862968608 -52562.3655031076
