"rot_cropC-C-C-C-S-C" "rot_cropC-C-C-S-C-C" "rot_cropC-C-C-S-S-C" "rot_cropC-C-C-S-W-C" "rot_cropC-C-S-C-C-C" "rot_cropC-C-S-C-S-C" "rot_cropC-S-C-C-C-C" "rot_cropC-S-C-C-S-C" "rot_cropC-S-C-S-C-C" "rot_cropC-S-C-S-S-C" "rot_cropC-S-C-W-S-C" "rot_cropC-S-S-S-S-C" "rot_cropS-C-C-C-C-C" "rot_cropS-C-C-C-S-C" "rot_cropS-C-C-S-S-C" "rot_cropS-C-C-S-W-C" "rot_cropS-C-S-C-C-C" "rot_cropS-C-S-C-S-C" "rot_cropS-C-S-S-C-C" "rot_cropS-C-S-S-S-C" "rot_cropS-C-S-W-S-C" "rot_cropS-S-C-C-C-C" "rot_cropS-S-C-C-S-C" "rot_cropS-S-C-S-C-C" "rot_cropS-S-C-S-S-C" "rot_cropS-S-S-C-S-C" "rot_cropS-S-S-S-S-C" "rot_cropW-C-C-S-W-C" "pr_6" "pr_7" "pr_8" "I(I(pr_6^2))" "I(I(pr_7^2))" "I(I(pr_8^2))" "cGDD_6m" "cGDD_7m" "cGDD_8m" "EDD_6" "EDD_7" "EDD_8" "vpd_6" "vpd_7" "vpd_8" "soil_6" "soil_7" "soil_8"
"rot_cropC-C-C-C-S-C" 2.26187578711236 1.15430796573126 1.31711797796223 1.03698249281179 1.35793151419049 1.30791086690843 1.40791788981669 1.37220088083324 1.2030864068988 1.42811622018903 0.841973740250085 1.80610006796823 1.20882150978161 1.30799886214276 0.903320191574656 1.09091312372153 1.31761426634318 1.36404489735762 0.903420629380278 1.28698286697519 0.544046983925395 1.42796981763291 1.50787125168294 1.26407249774434 1.40639681096076 1.3795554195358 1.56390988503436 -0.339483488561485 0.002035511745304 7.32973405396122e-06 0.00131463364438954 -5.14386181688282e-06 4.32439766058647e-07 -4.91123332562072e-06 -0.0101128659171377 0.00258804124353557 -0.00305545717861105 0.317255389467625 -0.0702849348611535 0.0819771119736977 -0.070748258559932 0.0330403367514682 0.0714130702373445 3.27617042793134e-05 -0.000758804120043906 -0.000184460005006912
"rot_cropC-C-C-S-C-C" 1.15430796573126 2.91763467141202 1.47664993248071 0.385639523450064 1.33345845304846 1.24395718481014 1.41227090451735 1.36011782770797 1.31993696685458 1.36941355069278 0.415553311783488 1.43787625590737 1.14142743864782 1.41741340136928 1.30729001927824 0.903589104792166 1.29193655036792 1.30302929428641 1.11970224299546 1.38945473659583 0.951670603629503 1.32074115767835 1.27729769509595 1.11790433209232 1.38164698234532 1.16813448843275 1.17788049775948 -0.855102764816864 0.00213345355305043 -0.000817682692653375 0.00109912340362779 -6.16757290178169e-06 4.44554855417532e-06 -4.24525318574149e-06 -0.00567920765089523 0.00448860253649901 -0.00408914523200604 0.158276471984562 -0.112846457496953 0.0385129939383295 0.349324172082482 -0.114883206720799 0.153561593635662 0.000191232555071117 0.00117146258982592 -9.38778673337764e-05
"rot_cropC-C-C-S-S-C" 1.31711797796223 1.47664993248071 41.0478015067791 -1.54397352127451 1.70900743325746 1.124943581137 1.34077858005611 1.25554711146883 1.18746357463435 1.53196109444138 1.63057792725317 4.63019074898921 0.874886551762606 1.24689825033204 0.431858600514466 1.83433265900397 1.14952752353662 1.30138611039899 1.04178456593701 0.540661103618598 2.69757920937633 4.44560648320315 0.94641582068879 -0.647584416754319 0.860576472462825 0.577989779698711 1.33574602976855 3.3124409231056 0.0041264863013268 -0.00378818290893791 0.000861004032734483 -3.73654668812947e-06 1.13018469136232e-05 -6.16373930103525e-06 -0.0335507457232609 0.0139162315723683 -0.00550917476165475 1.0761271657666 -0.574688892680572 0.164910611277883 -1.89435678768272 1.33651869653609 0.26500974717647 -0.00355408125886487 0.00549049691259063 -0.00344838654384958
"rot_cropC-C-C-S-W-C" 1.03698249281179 0.385639523450064 -1.54397352127451 58.6267960858152 1.18118850159495 1.52147896825434 1.70425541214638 1.42044004676267 1.10534120406297 1.82800911933272 -2.31746707674128 -0.827285290980289 1.28016291919387 1.25772056310654 2.86140770762519 2.59112229763829 1.94991130488569 1.50450390884265 0.55569289985289 1.74335662638555 2.00960342751935 2.88094601305987 1.46369638591236 1.09535241909289 1.92895474695811 1.60015861137928 2.06583464828033 -3.87506128144072 -0.00608740324793657 6.83494210989508e-05 0.00230484013789574 2.34257117432021e-05 -8.52048379748524e-06 -2.60839561887494e-06 -0.00524236152154104 -0.0206163701971478 -0.00122103668294256 0.15346388632821 0.333376187959917 0.135466316496484 -0.132629076222566 0.199289627032043 0.590902461182367 -0.00371551661425444 0.00554337068438122 0.00387097168361384
"rot_cropC-C-S-C-C-C" 1.35793151419049 1.33345845304846 1.70900743325746 1.18118850159495 3.52664129403199 1.29814380863847 1.27929363506824 1.45152061115535 1.34376150608548 1.21862487344631 1.70742410732253 1.43347071337041 1.36042756992417 1.52371919334866 1.24681232478037 1.37850020750892 1.35001194953903 1.34142568574039 0.765439020774231 1.61951283210389 0.619900639759011 -0.00243463210561289 1.09352111750772 1.54183908864829 1.22058755972727 1.33384006297525 1.50180812063456 -0.932486143088353 0.000337374346767923 -0.00100039062708756 0.00184110431849859 2.10071277957277e-06 3.26885014177106e-06 -6.51769454351451e-06 -0.0197002486967719 0.0050347478150062 0.00169587203293033 0.604038974902395 -0.169274972492127 -0.0292400802618381 -0.630689855139664 0.330239535773893 0.0692521506188292 -0.00101331050674088 -0.00126806796427631 0.000187499956084897
"rot_cropC-C-S-C-S-C" 1.30791086690843 1.24395718481014 1.124943581137 1.52147896825434 1.29814380863847 1.99834982897534 1.31052939878973 1.6157657250275 1.46178355839701 1.61381712143335 1.76021649970499 1.91734937557505 1.16328651229683 1.59347563155833 1.36683586778763 1.77020876014646 1.4655879160409 1.64145195186719 1.53744299076388 1.61058406786826 1.18263250550324 1.42346759671848 1.60078868790496 1.58191609886869 1.47964838710321 1.64087225692743 1.63224018461802 0.890701779344256 0.00155237844199388 -0.000706854847350585 0.000625578927842376 -1.38595032860491e-06 2.3736731819967e-06 -2.87619571630462e-06 -0.00984021117505932 0.00557018392255264 -0.00491001488318865 0.239870682438907 -0.139715043785959 0.159597168899204 0.011854851561041 0.184357762467449 -0.122753595406999 -0.00122651706745056 -0.000454404945444767 0.000348545606010208
"rot_cropC-S-C-C-C-C" 1.40791788981669 1.41227090451735 1.34077858005611 1.70425541214638 1.27929363506824 1.31052939878973 4.30243161324107 1.42444399348985 1.39274377936938 1.24129132936457 2.54107865673927 1.37697555435645 1.18574012734372 1.48467364007345 1.60438070044569 1.31174509074553 1.17918923448884 1.38121314123973 0.787142897899229 1.20275291329751 0.72558702577304 1.31096040087919 1.31858067743676 1.65185892124266 1.16822687754022 1.2409095958276 1.03639238268176 -0.156011726057896 0.00217222821970714 -0.00110744253628294 0.0013623403252643 -5.88352940494652e-06 6.37596345540794e-06 -4.3215176939333e-06 -0.0107698748522668 0.00192264008114747 -0.00639299925337017 0.204466672912141 0.016646806594296 0.139754429077471 0.116109310225556 -0.23119917209741 -0.0221405966039058 -7.4765628786269e-05 0.000239100103047221 -0.000681628411723298
"rot_cropC-S-C-C-S-C" 1.37220088083324 1.36011782770797 1.25554711146883 1.42044004676267 1.45152061115535 1.6157657250275 1.42444399348985 2.3733059861816 1.60615748018973 1.69379642930993 1.7475921856406 1.89847679102572 1.14008154525387 1.66674924823378 1.43258162946392 1.4913023465488 1.51158799879334 1.68114047592672 1.44179130559946 1.63875611372753 0.849583156414023 1.26340861234756 1.46626976441941 1.62571663239881 1.33998837993459 1.66908641559596 1.70959342267844 0.0672705300304575 0.00275839249023697 -0.000126067577271991 0.00114207514177654 -7.55686340350041e-06 2.08594337097538e-06 -4.312047516034e-06 -0.00995748502529322 -0.00106638477222915 -0.00480133487176757 0.23806935525525 0.0355039053469584 0.127506254942248 0.157869618717631 -0.00977427263522069 0.0687968606202363 -0.000859625901978157 0.000456949951261163 -0.000917162318733636
"rot_cropC-S-C-S-C-C" 1.2030864068988 1.31993696685458 1.18746357463435 1.10534120406297 1.34376150608548 1.46178355839701 1.39274377936938 1.60615748018973 3.05032679689357 1.63072626502502 1.77028194449489 1.83776686497358 1.0621925238227 1.61276752331773 1.66448482815518 0.833564845436303 1.51308193696635 1.64750754849247 1.64629626122749 1.61776131504536 1.28397231978468 1.85066053638383 1.53633915772094 2.05935436643724 1.34409253645806 1.70149636682449 1.93092095701778 -0.595282958162474 0.00130877459819779 -0.00107328484180085 0.00375836882913652 -7.2065752791757e-07 5.35349714473288e-06 -1.23377475769633e-05 -0.0167124378796258 0.00955966210425638 -0.0116788181992917 0.556167132799066 -0.286164960581118 0.322680352620827 -0.854371509904723 0.655671697530827 -0.0510870649538236 -0.0025398516397435 0.000522524608430455 0.000177645199918263
"rot_cropC-S-C-S-S-C" 1.42811622018903 1.36941355069278 1.53196109444138 1.82800911933272 1.21862487344631 1.61381712143335 1.24129132936457 1.69379642930993 1.63072626502502 4.33320363002371 1.39955816134711 2.56196559214925 1.05829470975095 1.74254194185972 1.64250848821879 1.74786666627523 1.49326539916788 1.88533742100482 1.83352596303777 2.06092387167749 1.08567296570425 2.2778896490279 1.72921986960827 2.26564257457459 2.34758064615333 1.96457331620486 2.74974438730432 -0.0430198109365249 0.0022924108319376 -0.00114437190346476 0.00111971538509014 -4.18923106698007e-06 4.55239677420306e-06 -4.52099779078642e-06 -0.0137104151443394 0.00655440170585873 -0.00631719759113588 0.474690910716358 -0.169000848918701 0.224065978313517 -0.698215818039325 0.372894269300626 -0.114995744665473 -0.00375991518648335 0.00160131955779038 -0.000646767658677207
