rot_crop,RCI,n,RCI_unique,RCI_match
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Alfalfa-Corn,1.58,101,2.45,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Alfalfa-Corn,2.45,138,2.45,TRUE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Alfalfa-Corn,3.24,1,2.45,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Corn-Corn,2.45,69,2.45,TRUE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Corn-Corn,2.65,18,2.45,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Corn-Corn,3.24,74,2.45,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Corn-Corn,4,3,2.45,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Dbl Crop WinWht/Corn-Corn,3.24,3,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Dbl Crop WinWht/Soybeans-Corn,2.45,11,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Dbl Crop WinWht/Soybeans-Corn,2.65,1,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Dbl Crop WinWht/Soybeans-Corn,3.24,6,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Deciduous Forest-Corn,2.65,1,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Deciduous Forest-Corn,3.24,1,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Developed/Open Space-Corn,2.45,1,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Fallow/Idle Cropland-Corn,3.24,1,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Corn,0,1,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Corn,2.45,13,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Corn,2.65,15,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Corn,3.24,19,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Other Hay/Non Alfalfa-Corn,2.45,4,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Other Hay/Non Alfalfa-Corn,3.24,8,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Sod/Grass Seed-Corn,2.45,1,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Soybeans-Corn,2.45,67,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Soybeans-Corn,2.65,7,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Soybeans-Corn,3.24,32,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Soybeans-Corn,3.46,1,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Winter Wheat-Corn,3.24,2,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Alfalfa-Winter Wheat-Corn,3.46,1,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Corn-Alfalfa-Corn,2.45,3,2.45,TRUE
Alfalfa-Alfalfa-Alfalfa-Corn-Alfalfa-Corn,2.65,3,2.45,FALSE
Alfalfa-Alfalfa-Alfalfa-Corn-Alfalfa-Corn,3.24,1,2.45,FALSE
Alfalfa-Alfalfa-Alfalfa-Corn-Corn-Corn,0,1,2.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Corn-Corn-Corn,2.45,81,2.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Corn-Corn-Corn,2.65,17,2.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Corn-Corn-Corn,3,1,2.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Corn-Corn-Corn,3.24,55,2.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Corn-Corn-Corn,3.46,1,2.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Corn-Corn-Corn,4,4,2.24,FALSE
